factor	target	value
1521	U2AF1	SYF2	-0.00475742983101505
1831	U2AF1	PPP1R8	-0.00104221992479693
2451	U2AF1	SRSF4	-0.008102401037867
2761	U2AF1	SNRNP40	-0.011015825031028
3691	U2AF1	SF3A3	-0.0089406438594439
4311	U2AF1	PPIE	-0.00834045955040085
5241	U2AF1	PRPF38A	-0.00630116978890744
5551	U2AF1	MAGOH	-0.00551485879677102
8651	U2AF1	SF3B4	-0.00814538040015451
8961	U2AF1	PRPF3	-0.00436603135886373
9271	U2AF1	SCNM1	-0.0164891320262011
10201	U2AF1	DHX9	-0.00935779428266345
11131	U2AF1	HNRNPU	-0.0111654807761401
12061	U2AF1	SF3B14	-0.0017002901432825
12681	U2AF1	SRSF7	-0.00461529939654781
15161	U2AF1	USP39	-0.00782711426853686
15471	U2AF1	SNRNP200	-0.00402904740626118
16401	U2AF1	PRPF40A	-0.00581784784147708
16711	U2AF1	PPIG	-0.000154822594370483
17021	U2AF1	CIR1	-0.0164041336123607
17331	U2AF1	HNRNPA3	-0.0121762011246012
17641	U2AF1	CWC22	-0.00885005346097275
17951	U2AF1	SF3B1	-0.00256677164214393
19811	U2AF1	RBM5	-0.00420767155957149
20741	U2AF1	PPP4R2	-0.00338080788677144
22291	U2AF1	TRA2B	-0.00869345839994035
23841	U2AF1	YTHDC1	-0.00719815392525352
24151	U2AF1	HNRNPD	-0.006545674699542
24461	U2AF1	LSM6	-0.0144860345912443
25081	U2AF1	FRG1	-0.00820227613214731
26321	U2AF1	PPWD1	-0.00807774080796063
27871	U2AF1	RBM22	-0.00943279074785056
30971	U2AF1	DDX39B	-0.00447013908889933
31281	U2AF1	LSM2	-0.0158335203429059
32211	U2AF1	SRSF3	-0.0103950990621629
33761	U2AF1	CDC40	-0.00300100231722987
34691	U2AF1	WTAP	-0.00266826073412205
35621	U2AF1	HNRNPA2B1	-0.00525681244708864
38101	U2AF1	TNPO3	-6.7675516792731e-05
39341	U2AF1	KIAA1429	-0.00827694390048889
41511	U2AF1	HNRNPK	-0.0151193751026307
42751	U2AF1	RBM17	-0.00587565376842276
43681	U2AF1	HNRNPH3	-0.00555569040087695
44301	U2AF1	SMNDC1	-0.0111880174057042
47091	U2AF1	CPSF7	-0.00934907736283227
47401	U2AF1	POLR2G	-0.00559144838719754
48021	U2AF1	SF1	-0.00750748095961044
48331	U2AF1	SART1	-0.01367249655073
48641	U2AF1	SF3B2	-0.0167117249604891
48951	U2AF1	RBM4	-0.00884059369728786
50501	U2AF1	BUD13	-0.0132940404860937
52671	U2AF1	DDX23	-0.00872840713840668
55151	U2AF1	ZCCHC8	-0.000663833450025152
57631	U2AF1	HNRNPC	-0.0158348830985629
58871	U2AF1	PNN	-0.00159215301883712
60731	U2AF1	SNW1	-0.00751637464750438
61041	U2AF1	CPSF2	-0.00434598776549573
61351	U2AF1	PAPOLA	-0.0134000351735724
62901	U2AF1	CLK3	-0.0124801196991851
65071	U2AF1	CD2BP2	-0.00758231303109933
65381	U2AF1	FUS	-0.000258702068870933
67551	U2AF1	DHX38	-0.000682803249687688
68791	U2AF1	CDK12	-0.00196747290966167
69101	U2AF1	CASC3	-0.00776286822057091
69411	U2AF1	DHX8	-0.000916889142726641
70341	U2AF1	SRSF1	-0.00576445076275014
70651	U2AF1	DDX5	-0.00451854000143748
72201	U2AF1	EIF4A3	-0.00314829204314745
72511	U2AF1	ALYREF	-0.00562589129984114
74681	U2AF1	SF3A2	-0.00465485305330782
74991	U2AF1	LSM7	-4.76076417962357e-05
76231	U2AF1	XAB2	-0.00210708319610129
76541	U2AF1	HNRNPM	-0.00370761077962142
79641	U2AF1	HNRNPL	-0.0107738205888756
80261	U2AF1	SNRPA	-0.0178622218070858
80571	U2AF1	HNRNPUL1	-0.0137844825248274
80881	U2AF1	CLASRP	-0.000577358642771083
82741	U2AF1	PRPF31	-0.00115597121781757
83361	U2AF1	U2AF2	-0.010475706447027
83981	U2AF1	SNRPB2	-0.0115989951339658
84291	U2AF1	CRNKL1	-0.00887355883699513
84601	U2AF1	RALY	-0.00405786450036762
84911	U2AF1	RBM39	-0.0068139841927182
86771	U2AF1	SON	-0.00317981415318767
87081	U2AF1	U2AF1	0.629646039143362
88941	U2AF1	SF3A1	-0.00393945612752869
90181	U2AF1	PHF5A	-0.00708597328739493
91111	U2AF1	ZRSR2	-0.00550471118277191
91731	U2AF1	SMC1A	-0.00103943061971256
93281	U2AF1	THOC2	-0.000535784872180222
93901	U2AF1	RBMX	-0.000588450040040141
